Horodateur,Edad,Estatura,Nota Electro,Hermanos,Peso
9/21/2026 12:12:13,22,1.54,4.3,1,50
9/21/2026 12:12:25,19,1.79,0,2,71
9/21/2026 12:12:28,19,1.79,4,1,73
9/21/2026 12:12:38,22,1.85,4.3,1,80
9/21/2026 12:12:39,20,1.7,3.8,1,60
9/21/2026 12:12:48,21,1.72,4.1,1,81
9/21/2026 12:14:05,31,1.75,0,1,70
9/21/2026 12:14:10,20,1.75,4,1,77
9/21/2026 12:14:15,21,1.6,0,7,48
9/21/2026 12:14:18,20,1.75,3.5,1,72
9/21/2026 12:14:30,22,1.82,4.2,1,92
9/21/2026 12:14:38,24,1.54,4,2,59
9/21/2026 12:15:03,29,1.73,4.5,2,65
9/21/2026 12:17:04,20,1.71,3.2,1,55
9/21/2026 12:17:26,22,1.85,4.3,1,80
9/21/2026 12:20:19,24,1.63,4.7,2,67.3
9/21/2026 12:21:33,24,1.79,3,1,87
9/21/2026 12:26:54,20,1.78,6.7,3,62
9/21/2026 12:33:21,20,1.58,6.7,3,58
